AUTHOR|TITLE|GRADE|NOTE
dessgeega|Antsy|Cc|
dessgeega|Busy|Cc|
dessgeega|Castles|Cc|
dessgeega|Juni's Hotfoot|Cc|
Devin Montes|Mega Mario Adventures|Cc|uses Nintendo music/sprites
Diago|Oil|C+|
Diago|World Fantastic|Cc|
Diago|Tales of Tales|D|
Diesel|Station 07 ver2|Cc|
Dilbertguy|Naito EPISODE 1|C+|
Dilbertguy|Temple 1.1|C+|multiple endings
Dilbertguy|Little noobling level revised|F|
Dilbertguy|Disco II|N/A|
Dilbertguy|DISCO YAYAYAYAYAYAYAYAYAY|N/A|
Dima STDN|Miners’ Territory|Bb|multiple endings
Django|Chessland|Cc|
djpokeboy|djpokeboy's tree house|D|
DKX900|IWBTK|Cc|kaizo style
Dne|Adventure IX v2|Cc|
Dne|Adventure XIII v2|Cc|
Dne|Adventure IX|OUTDATED|
Dne|Adventure XIII|OUTDATED|
Doctorhj|The Miniature Village|D|
dofuisod9|hello FINAL|D|
dofuisod9|hello|OUTDATED|
dofuisod9|hellov0 99|OUTDATED|
dofuisod9|hellov0 999|OUTDATED|
dofuisod9|hellov1.0|OUTDATED|
Doktor Glas|The Keeper of Dreams|Bb|
Dominic|Shadow Fear|D|
Donny kurniawan|advednture of juni|D|
DPC|Escape|Bb|
Dragon MC|darkness|C+|
dragondragon|Milks Quest II|Cc|
dragondragon|Milks Quest|OUTDATED|
DragonMC|SomeChallenges|C+|
Drakkan|Frozen Mountain 2v6|B+|some flaws but huge world
Drakkan|A Walk in Sad rev|C+|
Drakkan|Dark City|C+|unable to complete
Drakkan|Training Groundv3rev|C+|
Drakkan|Wild Knytt rev|Cc|
Drakkan|Lost sceptre rev|N/A|demo
Drakkan|Seiklus rev|N/A|demo
Drakkan|Frozen Mountain 2|OUTDATED|
Drakkan|Frozen Mountain 2 EX5b|OUTDATED|
Drakkan|Frozen Mountain 2 v6|OUTDATED|
Drakkan|Seiklus|OUTDATED|
Drakkan|Training Ground|OUTDATED|
Drakkan|Training Ground r21|OUTDATED|
Drakkan|Training Ground v2rev|OUTDATED|
Drakkan|Wild Knytt|OUTDATED|
Drakkan|A Walk in Sad|OUTDATED|
Drakkan|Frozen Mountain|OUTDATED|
Drakkan|Walk In1|OUTDATED|
draught|christmas time|D|
Draught and Razzorman|The world of dreams BETA v2|N/A|incomplete
Draught and Razzorman|The world of dreams BETA v1|OUTDATED|
DrBlowhole20|Shupa Junee Advenetur|F|
Dream of Dreams|The Dreamer|D|
DrHologram147|Hologram|D|
Dron|The Return v2|C+|
Dron|The Return|OUTDATED|
Dron233|Above The Waterfall|N/A|incomplete
drwright|A Strange Day v3|Cc|
DS Phillips|Dust Orange|N/A|nice intro screen, unable to complete
Dukit|4 Square|C+|
Dukit|Reason|C+|concept: swapping powerups to progress
Dukit|Dim Square|Bb|(better) reskin of '3 square'
Dukit|3 Square|C+|
Dukit|Logic|C+|
Dullahan1|Endless Dream (Beta 1)|D|
Duncencia|The Bridge|D|tedious
Duncencia|Smiley Bridge|D|
Duncencia|The Castle Toilet...v1.2|OUTDATED|see 'The Bridge'
Duncencia|The Castle Toilet...|OUTDATED|
Dunie|Town|Cc|
Dylan Mills|Blah|D|
Dynamite|Shadow Quest|D|gameplay issues but good potential
Dyzio|Diego Adventures|D|
E T|The crazy scientist 2|Cc|
E.|This map makes me wanna kill myself|D|
E.T|Five worlds of challenge|Cc|
E.T|Halloween something [Demo]|OUTDATED|
E.T.|Hous of mental|D|
E.T.|new tileset|N/A|tileset showcase
E.T.|The crazy scientist|OUTDATED|
E.T.|The crazy scientist DL THIS!|OUTDATED|
EddieDeanofIgnorance|Space Adventure|D|
Edward Francois|Grant IV|D|
egomassive|TheDyingCore1.1|A|multiple endings
egomassive|AKnyttinTime1.5|A|great use of hint system
egomassive|Shipwrecked1.1|A|multiple endings
egomassive|TToKEarthTemple|Bb|
egomassive|ShipParts069|Cc|classic knytt experience
egomassive|AutomationTechnique|N/A|animation demonstration
egomassive|FeaturesDemonstration072|N/A|feature demonstration
egomassive|Shipwrecked|OUTDATED|
egomassive|The Dying Core|OUTDATED|
eitan shoshi|a Awesome|D|
El Gabe|Old Man s Lighthouse|Cc|
El Gabe|Autumn into Summer|N/A|
Elder|sky flower XH|C+|harder version of Sky Flower
Elder|Uthoha|Cc|
Elder|Jumpy|Cc|
Elder|Flood|Cc|
Elder|Red ver1.2|Cc|
Elder|Romance|D|
Elder|Underworld|N/A|
Elder|Falling ver.2|N/A|tileset showcase
Elder|Sunshire|N/A|tileset showcase
Elder|Flying|OUTDATED|see Falling ver.2
Elder|Falling|OUTDATED|
Elder|Red|OUTDATED|
Elder|Red ver1.1|OUTDATED|
Eliminator|Meme War|C+|"C" for those not familiar with Twitch
Eliminator|Dimension 507|Cc|nice horror theme but disorienting
Eliminator|Among Us|Cc|uses 'Among Us' assets
Elimnator|My Explorer|C+|
Elimnator|The farm|Cc|
Elimnator|Cold and frozen|D|
Elimnator|The prison camp|D|
Ellessar|The sky castle v1|N/A|unable to complete
Elo720|Response for swoopman2 - HELP ME|F|
Elpis|Squaremans Adventure(KS Ego!)|B+|
Elpis|Multipurpose Hall|Cc|
Emeraldfire7|Pipe Dream|Bb|
Emeraldfire7|Break Time|Bb|multiple difficulties
Emeraldfire7|The Facility|Cc|concept: coordinate system
Emeraldfire7|Mezzo Rianna FINAL|Cc|gameplay suffers
Emeraldfire7|Cuthbert-'s Mansion|Cc|
Emeraldfire7|Magma Caverns|Cc|
Emeraldfire7|WARZONE|Cc|
Emeraldfire7|Mecha Zero|D|concept: entering pipes
Emeraldfire7|2040|D|
Emeraldfire7|twilight xone|D|
Emeraldfire7|more powers|N/A|concept: additional powerups
Emeraldfire7|Depths|N/A|too difficult to complete
Emeraldfire7|Knytt stories KAIZO STYLE|N/A|too difficult to complete
Emeraldfire7|more powersV2|OUTDATED|see 'more powers'
Emeraldfire7|Mezzo Rianna|OUTDATED|
Emile Dubuc|Flash|Cc|
EMMORY V|THE WORLD music fixed|D|
EMMORY V|THE WORLD|OUTDATED|
EMMORY V|THE WORLD 2.1|OUTDATED|
EMMORY V|THE WORLD 2.6|OUTDATED|
EMMORY V|THE WORLD 2.6 fixed|OUTDATED|
EMMORY V|THE WORLD FIXED FINALLY|OUTDATED|
EMMORY V|THE WORLD ver27|OUTDATED|
EMMORY V|THE WORLD2.5|OUTDATED|
emy|beginers tutorial|N/A|tutorial
Endos|Choices|Cc|concept: replaying level with different 'builds'
Eric Colossal|It Waits|B+|
Eric144|PLAY THIS|D|
Eric144|GLitch&WarpExperiment|N/A|too difficult to complete
Eric144|unfinished|OUTDATED|see 'GLitch&WarpExperiment'
Erik Decker|Maximus|Cc|
Eris Constance|I Lost My Cat (V2.0)|A|
Eris Constance|I Lost My Cat|OUTDATED|
Erskin|Inner World Seasons|Cc|concept: changing seasons
Erskin|Yggdrasil|Cc|
ErSorro|Take the Eyeball|Bb|one screen puzzle
ERV Incorporation|Most funniest game ever|D|
ET|Halloween something|N/A|halloween assets
ET333|The Return to The World in between|D|
ET333|The World in between|D|
Evangelos|Dungeon|Cc|
Evangelos|The Darkness|D|
Evangelos|The Darkness (beta)|OUTDATED|
Everyone|Community Base Level|F|
Evil|Watery Grave|D|
Evil|Help me find my umbrella|D|
Evil|Kat World|D|
Evil|Mitosis|D|
Evil|Level|N/A|day/night tileset, unable to complete
Evil|Sunset|N/A|nighttime tileset
Evil|Dark Waters|OUTDATED|see 'Level'
Evilguy|Into the Darkness|Cc|
Evilguy|Attempts at LAG|N/A|experiment to lag game
Evilguy|Into the Darkness ver0.15|OUTDATED|
EvilJ|PARASOL THINGY~!!!!!!!!!!!!|Cc|
evilj|VILJ LLOSST|F|
EvilJ|End|OUTDATED|see 'PARASOL THINGY'
EvilJ|Umbrella Ride|OUTDATED|see 'PARASOL THINGY'
Evilpenguinsdead|Outskirts|Cc|
f|OMG|N/A|file corrupted
Farik|Station Sputzna|A|unfinished
Farik|Harvest|B+|
Farik|Ascension|Bb|
Farik|The Hunt|Bb|
Farik|Skin Condition|Bb|
Farik|Warzone|Cc|unfinished
Farik|Camping|N/A|custom tileset
Farik|Homeland|N/A|demo
farik|Deserter Life|N/A|
Fegon|Temple of the sun|C+|
Fegon|Yggdrasil|Bb|unable to complete thank you Polana! 
Feline Monstrosity|Desert Story|Cc|
Ferretypie|A Pedallers Tale|D|
Filibuster Period|The Insider|Bb|[NSFW] very questionable "humor" 
Firecat|TimeshiftV1.2|Bb|concept: timetravel between past and future
Firecat|Lab|C+|
Firecat|Monocrome|C+|
Firecat|Outside|C+|requires trial and error
Firecat|Gustav's Visit|Cc|funny
Firecat|Lego|Cc|
firecat|lightless tower|Cc|
Firecat|The tiny planet|Cc|
Firecat|Tiny and Really Werid Maze|Cc|
Firecat|Runnin all the way|D|
Firecat|8 screens of MADNESS|F|
firecat|download this|F|
Firecat|Dunno|F|
Firecat|Test Card|N/A|showcase of KS tints
Firecat|Birds in the rain|N/A|test of background layering
Firecat|Temple Freefall|OUTDATED|see 'Outside'
Firecat|Timeshift|OUTDATED|
Firecat|Timeshift 1.1|OUTDATED|
Firekirby123|YOU CAN ONLY JUMP|N/A|puzzle? unable to complete
Firewall|Knytt Castle|D|
Flam|Subject 29073 v1.01|Bb|mechanic: room/path marker using tileset
Flamingwolf8794|Underground|D|
Flarry|Juni Nukem v2.0|Cc|
Flarry|The Journey Home|D|
Flarry|Shrapnel City|OUTDATED|see 'Juni Nukem v2.0'
Flarry|Juni Nukem|OUTDATED|
FlyingPigBoy|PokeKnytt|N/A|concept: pokemon battle
Flynn|Knytt Legacy RESKIN PREVIEW|D|
Flynn|Knytt Legacy UPDATED|OUTDATED|
Flynn|Tron Legacy.bin|OUTDATED|
FNA|Just Another Knytt Story|D|
freakzilla100|hard|D|
freakzilla100|junis adventure|D|
freakzilla100|test your skill|F|
Fred|Frozen|Bb|
fred052|Dragon 2|Cc|tedious
fred052|Save the spirit v2|D|
fred052|Juni's test|N/A|broken? can't leave starting screens
fred052|Save the spirit|OUTDATED|
Frédéric|Indigo world-EN(Version2)|D|
Frédéric|Indigo world-FR|OUTDATED|French Version
Frédéric|Indigo world-EN|OUTDATED|
fredolegros|Uncle Topper's Tales (2nd version)|Cc|
fredolegros|Wally WaWaland|Cc|
fredolegros|Uncle Topper's Tales|OUTDATED|
Fredrik Andersson|Cursed|C+|concept: "stuck" in loop
Fredrik Andersson|Core|Cc|
Fredulom|Chamber of Trials|Bb|concept: overworld format
Frejoles|UtopiaComplete|Cc|
Frejoles|Utopia|OUTDATED|
FTF32|Adventures of a ball|N/A|for KS Ex
FTF32|Ball (KS Ex!)|N/A|for KS Ex
FTF32|flying ball (KS Ex!)|N/A|for KS Ex
FTF32|gravitation (KS Ex!) v 1 1|N/A|for KS Ex
FTF32|gravitation (KS Ex!)|OUTDATED|
Fubaka|The Column v1.0.1|B+|
Fubaka|An Excerpt from Silence (Fix)|Bb|
Fubaka|Juni Gets a Food|C+|
Fubaka|The Impossible Jump|N/A|unable to complete
Fubaka|An Excerpt from Silence|OUTDATED|
Fubaka|The Column|OUTDATED|
Fubaka & ixMarcel|Juni's Checkered Past|Bb|concept: collaborative level creation
Gabby|KnyttStoriesProj|D|
gabriel oliveira|dream|Cc|
Gabriel Oliveira|TheBigWorld|D|
gamerjc21|Spectrum|B+|concept: returning color to the world
gamerjc21|The Gate of FourKey|Bb|5 unique worlds
gamerjc21|Mario World|Cc|uses Mario assets
gamerjc21|A Jungle Out There|Cc|
gamerjc21|Cave Escape|Cc|
gamerjc21|The Great Knytt Tree|Cc|
gamerjc21|Knytt Enemy Museum|N/A|showcase of KS enemies
GBoots|Red Flower|B+|[NSFW], unique minigames
GBoots|One Screen Puzzle|Bb|one screen puzzle
GeckoCatcher|Fire Mountain|D|
gedzior84|Venice Issue v100|Cc|
General Chickenhighmer|Solar System tour|Cc|
General Chickenhighmer|The Factory|D|
Georgia Wellborn|Unrequited Love|Cc|
Ghormak|Rain|Cc|concept: changing weather
Gigabot3662|Assault1.2|D|
Gigabot3662|Music Beta|D|
Gigabot3662|Assault|OUTDATED|
Gigabot3662|Assault1.1|OUTDATED|
Gliblord|Newgate|D|
Gliblord|Squeaky Clean|D|
Gliblord|Electrolyte|D|
Gliperal & StraightFlame|Compare and Contrast v1.1|B+|concept: 2 versions of level
Gliperal & StraightFlame|Compare and Contrast|OUTDATED|
Glorious Trainwrecks|The Cursed Gallery|A|concept: entering paintings, SM64-esque
Glorious Trainwrecks|Rainy Day Adventure|C+|community level of varying quality, (highlights = worldbuilding in underground village, violin music cover)
Glorious Trainwrecks|The Cursed Gallery (INITIAL RELEASE)|OUTDATED|
God|Edenv.2|D|
godric|Statue|D|
godric|StatueVersionAlpha|OUTDATED|
Gokris Tempouin|Juni's Cave Story|Cc|
googoogjoob|Memnosyne|C+|concept: life flashing before eyes
googoogjoob|Knytt Serial 1|Cc|concept: solve a mystery, guess killer at end
googoogjoob|Kill Kitler|Cc|"B" world building, "D" gameplay
googoogjoob|Squiggly|Cc|depressing concept, no end?
googoogjoob|SpaceStation|Cc|
googoogjoob|The Dream|Cc|
googoogjoob|By Request Only v2|D|
googoogjoob|The Prisoner|D|
googoogjoob|A Stroll|D|
googoogjoob|Blackmarket|D|
googoogjoob|Carousel|D|
googoogjoob|Mashup IIv1.1|D|
googoogjoob|MashupFinal|D|
googoogjoob|Progress v1.2|D|
googoogjoob|Tower|D|
googoogjoob|XENU|D|
googoogjoob|lessepic|N/A|
googoogjoob|Composition|N/A|music player
googoogjoob|Candeh!|OUTDATED|see "Black Market"
googoogjoob|The Organ V1.1|OUTDATED|see "Composition"
googoogjoob|Whodunnit|OUTDATED|see "Knytt Serial"
googoogjoob|A Flashv1.2|OUTDATED|see "Memnosyne"
googoogjoob|Capitalismv2.1|OUTDATED|see "Squiggly"
googoogjoob|Banishmentv2.2|OUTDATED|see "The Prisoner"
googoogjoob|A Flash|OUTDATED|
googoogjoob|A Flashv1.1|OUTDATED|
googoogjoob|Banishment|OUTDATED|
googoogjoob|Banishmentv1.1|OUTDATED|
googoogjoob|Banishmentv1.2|OUTDATED|
googoogjoob|Banishmentv2.1|OUTDATED|
googoogjoob|By Request Only|OUTDATED|
googoogjoob|By Request Only v1.1|OUTDATED|
googoogjoob|Candehv1.1|OUTDATED|
googoogjoob|Candehv1.1b|OUTDATED|
googoogjoob|Capitalismv1.2|OUTDATED|
googoogjoob|Capitalismv2|OUTDATED|
googoogjoob|Mashup|OUTDATED|
googoogjoob|Mashup II|OUTDATED|
googoogjoob|MashupSE|OUTDATED|
googoogjoob|Progress|OUTDATED|
googoogjoob|Progress v1.1|OUTDATED|
GoR|Lost TowN|D|
Gorfinhofin|Flipping Out|Bb|concept: flipping gravity
Gorfinhofin|The Tower of Mani-Chaka|Bb|
Gorfinhofin|The Storms Coming|C+|
Gorfinhofin|Dont Download Just a Test|F|
Gorfinhofin|Tutorial Calligraphy|N/A|reskin of Nifflas' tutorial
Gorfinhofin|The Storm's Coming|OUTDATED|
Graf|Back to Bluetown|D|
Graf|Just a Playground|D|
Graf|Nightmare|D|
GrayFace|Ball Tutorial|N/A|requires KS EX
GrayFace|Extended Version Example|N/A|requires KS EX
Green Cookie|Morass|Cc|
Green Cookie|Forest|D|
Green Cookie|The Valley|D|
Green Cookie|Short Blue|N/A|short demo
greenblobo9|3D Town|N/A|3D tileset, incomplete
greenblobo9|Nifflas' Simulator Beta 1|N/A|concept: old Nifflas games remade in KS
grey|nameless|D|
Grimwit|Blue House|Bb|great title card art
Grimwit|Underground|Bb|
Grimwit|Cliff Hangerv13|Bb|nice hint system
Grimwit|Undergroundv12|N/A|can't download (see 'Underground')
Grimwit|Cliff Hanger|OUTDATED|
Grimwit|Cliff Hangerv1.1|OUTDATED|
Grimwit|Underground v1.1|OUTDATED|
Grumbles|Subdominionv1-0|D|
GTAfan420|Diminishing Resource (with fixes & touch ups)|Cc|
GTAfan420|Diminishing Resource|OUTDATED|
GTAfan420|Diminishing Resource final|OUTDATED|
Gunpowdertea|The Sound of Snow|Cc|
Gyashi Nero|Land of Eternity|Cc|
Gyashi Nero|Castle Siege|D|
Haikon|First Try|D|
Hakuorii|Tipi|Cc|
Hakuorii|Hubub|D|custom enemy sprites
HamHamLuigi|The Lost Town more beutiful|D|
HamHamLuigi|The Lost Town|OUTDATED|
Hamster|Zirrr release|C+|
Hamster|Zirrr|OUTDATED|
Hana|The Jorb Enigma|Cc|
Hannah|It's Only Love|D|
Harumbai|The house|Cc|concept: boobytrapped house
Harumbai|Up and Down1.1|Cc|concept: shift moving platforms
Harumbai|Temple of Death 1.1|Cc|
Harumbai|The Jumps v1.1|Cc|played on hard mode
Harumbai|Imprisonment v1.1|Cc|
Harumbai|Jump-Whoops-Poof 1.2 without music|Cc|
Harumbai|Jumping Difficulties 1.2|Cc|
Harumbai|Laserz custom music v1.1|Cc|
Harumbai|Levels 1.1|Cc|
Harumbai|Oxi|Cc|
Harumbai|The Multifaceted Keyholes1.6|Cc|
Harumbai|Rising Stones 1.1|D|
Harumbai|Rainforest 1.2|D|
Harumbai|types|D|
Harumbai|Eggs|N/A|nice egg animations, incomplete?
Harumbai|MoonShadow|N/A|tileset demo
Harumbai|Imprisonment|OUTDATED|
Harumbai|Jump-Whoops-Poof 1.0|OUTDATED|
Harumbai|Jump-Whoops-Poof 1.1|OUTDATED|
Harumbai|Laserz|OUTDATED|
Harumbai|Laserz custom music|OUTDATED|
Harumbai|Levels|OUTDATED|
Harumbai|Temple of Death|OUTDATED|
Harumbai|The Jumps|OUTDATED|
Harumbai|The Jumps v1.0|OUTDATED|
Harumbai|Up and Down|OUTDATED|
Hawkeye|Project|D|
Hawktoe Burr|Pumpkins in the Graveyard|Bb|[NSFW] very questionable "humor" 
Hayden|Fist (WIP)|F|
HeadGrinder|White City 1.1|Bb|
HeadGrinder|Stone Tiers v1 2|Bb|
HeadGrinder|Badly Built Level|C+|funny
HeadGrinder|Vague Feeling|C+|
Headgrinder|Well of White Waters v1 2|C+|
HeadGrinder|A Short Investigation (abandoned project)|N/A|incomplete
HeadGrinder|Stone Tiers|OUTDATED|
Headgrinder|Well of White Waters|OUTDATED|
HeadGrinder|White City|OUTDATED|
Healy|Awful Mountain Climber Restaurant|Bb|
Healy|A Day at the Beach|C+|
Healy|Race to the Pumpkin Patch|C+|
Healy|Juni in the Haunted House|Cc|
Healy|Be a Hammer or an Anvil|Cc|concept: moral dilemma
Healy|Snowy Day|Cc|
Healy|At the Zoo version 1.0|Cc|
Healy|Happy Birthday to You|Cc|
Healy|Zen Garden|Cc|
Healy|A Quick One v1 1|Cc|
Healy|A Very Knytt Christmas|Cc|
Healy|A Visit to Grandmother's|Cc|
Healy|Bella Wolpeck|Cc|
Healy|Strawberry Shortcake|Cc|
Healy|The Star Festival|Cc|
Healy|Waiting in the Rain|Cc|
Healy|Peaceful Sonata|D|
Healy|Strange Valley 1 1|D|
Healy|Thankshiving|D|
Healy|Angry Sonata|F|
Healy|Tiny House|N/A|vignette
Healy|Black as Night|N/A|vignette
Healy|Juni's Winter Wonderland|N/A|vignette
Healy|Laser Train Disco|N/A|vignette
Healy|The Mad Doctor's Lab|N/A|vignette
Healy|The Manor House|N/A|vignette
Healy|Tree House|N/A|vignette
Healy|Snowy Islandv1.1|OUTDATED|see 'Snowy Day'
Healy 'n' hugs|House and Garden|N/A|
Healy and EffBee|Springy Sproingy|Cc|
Hermaeus|Darkness Comes v.0.1|D|
Hermaeus|Darkness Comes v975135.7|OUTDATED|
Hiino|Lazer Maze|N/A|one screen, too hard to complete
Hmpf MacSlow|Falling Water part 1.v1.2|N/A|demo
Hmpf MacSlow|Remembering the City v1.2|N/A|incomplete
Hmpf MacSlow|Jumping in the Rain|N/A|various tilesets in the rain
Hobospawn|3 Monutains|D|
Hollyrr|Two Cities|D|
holopunk|A Taste of Limbo|Bb|
Holy Challenge! Zergling|LoL|D|
Houbi|You'll climb that slope|Cc|
HR|Sunset-bugfix|D|
HR|This World beta1|D|
HR|Compiliation|N/A|vignette compilation
HR|Sunset|OUTDATED|
HR|Sunsetupdate|OUTDATED|
Hua|Movement Proj|D|
hugs & Fubaka|last of the salad days (fix)|C+|unable to complete
hugs & Fubaka|last of the salad days|OUTDATED|
HUSZZAGH|AFgIDJGIDJFGDGF|D|
HyperJynx|Knytt RPG|D|
HyperJynx|Knytt RPG II|D|
HyperJynx|Knytt RPG III|D|
HyperJynx|Gannondorf's castle|D|
HyperJynx|How everything began|D|
HyperJynx|Juni and the temple|D|
HyperJynx|Hyper city|F|
Hyperzim|Boring game EVUR L337|D|
Hyunjin|Striking Master Course|Cc|
HyunJin|Challenge of Juni|D|
[AUTHOR]|[TITLE]|[RATING]|[OTHER NOTES]
I am a pwny|Tutorial|Cc|KS tutorial
I R IN UR BASE|MY FIRRST LEVEL|D|
I wanna be the Knytt|Dale|N/A|intentionally frustrating
i542|Illusion|Cc|
i542|Nightmare|Cc|
Ian|Rise of the Monarchy|N/A|unfinished
IceTigerV|Long walk|D|
Icy|My first level v1.1|Cc|
Icy|My first level|OUTDATED|
Idunnolulz|ALLTOASTERSTOASTTOAST|D|
Iggyzor|Splinter|C+|great meta elements, short
iggyzor|House|N/A|unfinished
Im not a mad Scientist|Pr0xyzer|N/A|title and author switched, see Pr0xyzer level in future review
Imaddo|Another Journey (v1.3)|C+|
Imaddo|Knytt on the Moon|C+|maze-y
Imaddo|Another Journey|OUTDATED|
Imaddo|Another Journey (v1.2)|OUTDATED|
Imaddo|Another Journey.v1.1|OUTDATED|
infertasion|nieve cave|D|
Inky84|LifeWaver|D|
Inky84|Axix 3D|N/A|demo of isometric view
Insane|Insanity|D|
Introversity|Rolly Scrolly|Bb|concept: toggle screen wrap puzzle
Introversity|Black and White|C+|concept: swap between white + black paths
Introversity|Ephemeral|C+|
Introversity|Far Below mk2|C+|
Introversity|Grand Challenge|C+|
Introversity|How Seasons Change|C+|concept: changing seasons, alt. versions of level
Introversity|Leaving Home A|Cc|
Introversity|Scrolly Polly Snow|OUTDATED|see 'Rolly Scrolly'
Introversity|Simple World|OUTDATED|see 'How Seasons Change'
Introversity|Single Screen|OUTDATED|see 'Black and White'
Invader Dib|Maelstrom|Cc|
Invader Dib|World 1|Cc|super mario bros inspired
invisible|The Challange|Cc|
iofs|viku|D|
Ioshiin|Super Juni|Cc|super mario bros inspired
IPWN|Tutorial|Cc|
IPWN|P|D|
IPWN|P3|D|
IPWN|P2|D|
IPWN [empty]|PWN P4 OTHER LIFE. V.1knytt|D|
irrlicht|lost|Cc|
ITA84|Dimensional Jumper bugfix|C+|concept: toggle 2 dimensions
ITA84|Temp|Cc|great blinking sun and swingset animations, no challenge
ITA84|Temp IV|Cc|nice "timelapse" animations 
ITA84|Climb for your life - fix2|Cc|concept: rising lava, transitions a little janky
ITA84|Knyttoid|Cc|uses metroid assets
ITA84|Pastime|D|
ITA84|Temp III|D|nice flying bird and power-up shrine animations
ITA84|Juni's Little Lab|N/A|showcase of custom mechanics (carrying items, using 2 players)
ITA84|Climb for your life|OUTDATED|
ITA84|Dimensional Jumper|OUTDATED|
ITA84|Temp II|OUTDATED|see 'Temp IV'
ItalianLobster|The Cyborg's Secret [BETA]|N/A|boss fight, unfinished
Ivan|Happy Land v.2|D|
Ivan|Happy Land|OUTDATED|
ixMarcel|Saving Thalanill UPDATED|A|superb story, level design, art, animations, and ending
ixMarcel|The tower of Lightning|B+|very nice level design
ixMarcel|Dream|C+|
ixMarcel|The tower of LightningEasyVersion|N/A|played the normal version
ixMarcel|Saving Thalanill|OUTDATED|
ixMarcel & Fubaka|What happened next|Bb|very cool screen filter and "meta" aspects
ixMarcel & StraightFlame|Exploring a cave|Bb|
jack|its my firts time|D|
Jacob|Escape The Flood|Cc|
JacobX891|Boss Battles|D|
JaG|The Stupid Asshole|D|
Jahw|SuperKnyttStroriesGalaxies|C+|concept: rotating planet level via animations
Jahw|RaceV1.4|Cc|
Jahw|1square|Cc|one screen puzzle
Jahw|3X3|Cc|
Jahw|Hugeistics|D|
Jahw|CheeseCake|F|no win condition, one screen
Jake|Exploration|N/A|unfinished
JAM|Planet Smuck|Cc|
James Orth|Another Strange Dream|Bb|great title cards
James Shain|The Hours Pass|N/A|unfinished
James Vaughan|Caged In|Bb|
James Vaughan|Scarlet Tears(dop Deni)|Cc|
James Vaughan|Doden Vantar|Cc|maze-y
James Vaughan|Insurance|Cc|very-hard at some sections
James Vaughan|Fun with cutscenes|N/A|unfinished
James Vaughan|Lament|N/A|softlocked
James Vaughan|Scarlet Tears|OUTDATED|
James1011R|Knytt Metaverse (yellow target fixed)|Cc|concept: each level is  color coded
James1011R|New Knytt City Retour (Mechamind90 fix)|Cc|
James1011R|The Quest For Heights|Cc|
James1011R|Adventure In Effect Land|D|
James1011R|Blacklight|D|
James1011R|Epic Challenge|D|
James1011R|Epic Challenge 2|D|
James1011R|Epic Challenge 3|D|
James1011R|Knytt Metaverse|OUTDATED|
James1011R|New Knytt City|OUTDATED|
James1011R|New Knytt City (fixed)|OUTDATED|
James1011R|New Knytt City Retour|OUTDATED|
James1011R|New Knytt City Retour (download this one)|OUTDATED|
Jane Brain|Game of Depressions|Cc|
Jason|Short n Sweet|D|
Javet|Further On|Cc|
Jaybaird05 [empty]|nytt Jay's Level|D|
Jaystab|Susan's Inferno|Cc|
JB|SMB|Cc|super mario bros inspired
jdl|Cave Adventure|Cc|
Jdl|Area Map Demonstration|N/A|demo, area map
Jeff|Lame Land Adventures|D|
Jeffrey|Knytts at Work|N/A|demo, custom characters
Jeppo|Luminous City|Cc|
Jerbil|Climb|Cc|
Jeremy|Knytt Villages|Cc|
Jeremy|The Colorless World v1.01|Cc|
Jeremy|I Wanna Be The Knytt|D|
Jeremy|Knytt Village|OUTDATED|
Jeremy|The Colorless World|OUTDATED|
Jeremy and Leo|Factory v0.2|D|
Jeremy and Leo|Factory|OUTDATED|
Jeremy and Leo|Factory v0.1 2|OUTDATED|
Jerom|Knytt 8bits v2|Bb|concept: inside a gameboy game, mechanic: minimap
Jerom|Marine (warp and void fixed)|Bb|
Jerom|Volcano God|Bb|
Jerom|Winter Solace|Cc|
Jerom|Cubi Quest|N/A|unfinished but superb art
Jerom|Super Juniland|N/A|unfinished but "B" so far
Jerom|Marine|OUTDATED|
Jerom|Marine (warp fixed)|OUTDATED|
Jerom|Super Juniland (fixed)|OUTDATED|
Jesse|Wonderland|Cc|
jetio4|A small blue cave 2|D|
jetio4|A small blue cave|OUTDATED|
Jetsetlemming|Second Basementv41|C+|
Jetsetlemming|Second Basementv2|OUTDATED|
Jigganis|splitMindv1.1|Bb|beautiful level / atompshere, though not big on exploration levels
Jigganis|The Seashell v.9000.2|Bb|exploration
Jigganis|Refuse Shell|C+|
Jigganis|PrecipiceV2|N/A|not finished but blue area looks nice
Jigganis|cognitionDivision|OUTDATED|see 'splitMindv1.1'
Jigganis|Peninsula v0.1|OUTDATED|see 'PrecipiceV2'
Jigganis|splitMind|OUTDATED|
Jigganis|The Seashell|OUTDATED|
Jigganis|The Seashell v1.1|OUTDATED|
Jigganis|The Seashell v9000.0|OUTDATED|
Jigganis|The Seashellv9000.1|OUTDATED|
Jigganis|Underside|OUTDATED|see 'splitMindv1.1'
jim in austin|YAL|Cc|
jj|test|D|
jl33068|Explore|Cc|
Jman|Level the First|D|
Jman|Level the Third|D|
Jman|Level the Second|D|
Jobroskie|The Crazy Train|Cc|
Joe and Jay|Outland|N/A|unfinished
joey marshall|joey domain the return|D|
John Henry|A Self Called Nowhere|Cc|
JOHN111b|Epic Elite Course|Cc|
Johnb250|Transporters and Pyramids|C+|huge level but a minimap mechanic would help
Johnb250 [empty]|uni and the Transporters|OUTDATED|see 'Transporters and Pyramids'
